code,name,latitude,longitude,Z,FindNearestRank,DistanceKilometers,Direction
7015,LaSalle / 4e avenue,45.43074022417498,-73.5919108253438,20,1,1.07181120378092e-002,N
6714,LaSalle / Sénécal,45.43443353453236,-73.58669400215149,20,1,6.84552442399517e-003,S
6712,LaSalle / Crawford,45.43791380065227,-73.58274042606354,20,1,2.52278529944502e-003,E
6715,Natatorium (LaSalle / Rolland),45.44440817060518,-73.57556819915771,18,1,5.76227502762652e-003,SW
7048,Métro Angrignon,45.446534244545326,-73.60354088363238,25,1,8.43648581757158e-003,S
7056,Godin / Bannantyne,45.4475536968409,-73.57726335525513,20,1,6.36266962394912e-003,S
7051,Jogues / Allard,45.449900812620385,-73.60025119094644,28,1,1.15183130542572e-002,N
6706,Beatty / de Verdun,45.450729976972944,-73.5725748538971,18,1,0.0128838025669,NE
6725,Métro Monk (Allard / Beaulieu),45.45085122,-73.5940272,25,1,5.72517301887136e-003,E
7059,Argyle / Bannantyne,45.45324567428996,-73.57681475579739,20,1,1.0814863817041e-002,NW
6309,5e avenue / de Verdun,45.456049,-73.571877,18,1,8.29756970154788e-004,S
6744,Hamilton / Jolicoeur,45.456355,-73.597557,30,1,1.23134503328211e-002,N
6369,West Broadway / Sherbrooke,45.45635829051657,-73.64013027457986,59,1,1.26743711081149e-002,NW
6705,5e avenue / Bannantyne,45.456365,-73.57614,20,1,1.2897600211586e-002,NE
6707,Métro Jolicoeur (Drake / de Sève),45.456498000831544,-73.58214363455772,21,1,6.44444894898022e-003,SE
6754,Eadie / Dubois,45.45759682462104,-73.59052859581423,25,1,1.31248761857089e-002,SW
7057,2e avenue / Wellington,45.45789352611307,-73.56752824096475,16,1,3.38525941461776e-003,NE
7010,Belmore / Sherbrooke,45.459233060280816,-73.63740515022073,61,1,1.0445498987316e-002,SW
6426,Métro Verdun (Willibrord / de Verdun),45.459487694540734,-73.57209205627441,18,1,1.06503839121286e-002,N
6428,"Berlioz / de l'Île des Soeurs",45.45998577640931,-73.54395568370819,18,1,1.59415091111101e-003,N
6719,Park Row O / Sherbrooke,45.46072936353252,-73.63407254219055,61,1,1.36870877883118e-002,NW
7058,Gordon / Wellington,45.461077990108386,-73.56730699539183,16,1,4.20986536000097e-003,S
6709,Le Caron / Marc-Sauvalle,45.461685,-73.584039,22,1,6.60961726645979e-003,E
6742,Briand / le Caron,45.462362,-73.59665,23,1,7.92359935595346e-003,S
6425,"Ross / de l'Église",45.462742,-73.565845,17,1,3.85041394922751e-003,S
7060,"de l'Église / de Verdun",45.46300108733155,-73.57156895217486,18,1,1.20843177111346e-002,SW
6379,"de l'Église / Bannantyne",45.4632535358533,-73.57587933540344,20,1,9.56561748476959e-003,N
7013,Benny Crescent / Benny,45.46431546986341,-73.62556993961334,60,1,7.88584033497889e-003,NW
6718,Grand Boulevard / Sherbrooke,45.466569,-73.623295,66,1,1.12577192467779e-002,N
6115,Benny / de Monkland,45.466914254987394,-73.6317041516304,64,1,5.25046498652324e-003,SE
6429,Place du Commerce,45.46714,-73.54259,17,1,9.42675080648308e-003,SE
6341,Regina / de Verdun,45.467369,-73.570769,18,1,9.95004914163594e-003,SW
7054,Cote St-Paul / St-Ambroise,45.467665653865964,-73.59391784324544,20,1,5.69700963334332e-003,NW
6363,de Clifton / Sherbrooke,45.46904609121779,-73.6185747385025,64,1,1.0087677811557e-002,S
6415,Wilson / Sherbrooke,45.4703,-73.6162,64,1,1.0907077059303e-002,S
6313,Palm / St-Remi,45.470303,-73.589848,20,1,1.13999467771159e-002,SE
6427,Métro Lasalle (de Rushbrooke / Caisse),45.47069642604657,-73.56542240828276,17,1,7.95041610958439e-003,S
6263,de Hampton / de Monkland,45.471161595177456,-73.62720608711243,70,1,1.18746943251297e-002,NW
